 ,Label,Area,Mean,Min,Max
1,Experiment_0004.nd2 - C=2-1:Cell_01,70.408,96.392,0,255
2,Experiment_0004.nd2 - C=2-1:Cell_02,96.692,91.877,0,255
3,Experiment_0004.nd2 - C=2-1:Cell_01_1,2.318,116.054,3,255
4,Experiment_0004.nd2 - C=2-1:Cell_01_2,1.656,119.938,3,255
5,Experiment_0004.nd2 - C=2-1:Cell_01_3,1.449,79.529,34,163
6,Experiment_0004.nd2 - C=2-1:Cell_02_1,8.361,78.158,0,197
7,Experiment_0004.nd2 - C=2-1:Cell_02_2,6.250,68.189,0,255
8,Experiment_0004.nd2 - C=2-1:Cell_02_3,4.139,101.720,0,255
9,Experiment_0004.nd2 - C=2-1:Cell_01_4,4.719,143.882,0,255
10,Experiment_0004.nd2 - C=2-1:Cell_01_5,1.738,142.643,45,235
11,Experiment_0004.nd2 - C=2-1:Cell_02_4,8.527,119.862,0,255
12,Experiment_0004.nd2 - C=2-1:Cell_02_5,1.490,120.458,0,247
